0x00103A00 CBasicAnimatedObject_HandleAttributes
0x001041D0 CBasicAnimatedObject_factory
0x00106AF8 CEnemySpecificPlayerAnim_HandleAttributes
0x00106CC8 CEnemySpecificPlayerAnim_factory
0x0010B100 CAudioLocatorBehaviour_HandleAttributes
0x0010B368 CAudioLocatorBehaviour_factory
0x0010B550 CAudioLocatorBehaviour2D_HandleAttributes
0x0010B968 CAudioLocatorBehaviour2D_factory
0x0010ED48 MaterialMap_HandleAttributes
0x0010EF20 MaterialMap_factory
0x0010F438 CAudioTransitions_HandleAttributes
0x0010F9F8 CAudioTransitions_factory
0x001109B8 CAudioUI_HandleAttributes
0x001115E0 CAudioUI_factory
0x001147C0 CameraPair_HandleAttributes
0x00114A68 CameraPair_factory
0x00118AB8 CConstraintCamera_HandleAttributes
0x001190E0 CConstraintCamera_factory
0x00119B88 CControllerCamera_HandleAttributes
0x00119DA8 CControllerCamera_factory
0x00119FB8 CFmaCameraNode_HandleAttributes
0x0011AF38 CFmaCamera_HandleAttributes
0x0011B848 CFmaCameraNode_factory
0x0011B890 CFmaCamera_factory
0x0011BEF0 CFollowCamera_HandleAttributes
0x0011C058 CFollowCamera_factory
0x0011C3C8 CPeepholeCamera_HandleAttributes
0x0011C850 CPeepholeCamera_factory
0x0011D4D8 CStaticCamera_HandleAttributes
0x0011D7C0 CStaticCamera_factory
0x0011E9F8 CTnfCamera_factory
0x0011EB10 CTnfCamera_HandleAttributes
0x0011F298 CCalibanBehaviour_factory
0x00126010 CIGCCharacter_HandleAttributes
0x0012B630 CEnemyBehaviour_factory
0x0012BF08 CFlaurosBehaviour_factory
0x00136CC8 CPlayerBehaviour_factory
0x00137210 CPlayerBehaviour_HandleAttributes
0x0013A148 CPlayerReflector_factory
0x0013A238 CPlayerReflector_HandleAttributes
0x0013B040 CSadDaddyBehaviour_factory
0x0013BF68 CZoneCollision_HandleAttributes
0x0013CFB0 CPhysicsObject_HandleAttributes
0x0013D490 CPhysicsObject_factory
0x0013D7C0 CSceneObject_factory
0x0013D888 CSceneObject_HandleAttributes
0x0013DB48 CSequenceObject_HandleAttributes
0x0013DF78 CSequenceObject_factory
0x0013E7D0 CSmashableObject_factory
0x0013E930 CSmashableObject_HandleAttributes
0x0013F1E8 CSolidObject_factory
0x0013F610 CSolidObject_HandleAttributes
0x0013F720 CStaticObject_factory
0x0013F810 CAnimatedStaticObject_factory
0x0013FB88 CStyledSceneObject_factory
0x001405E8 CColorLight_factory
0x00141480 CFastLightSource_HandleAttributes
0x00141748 CFastLightSource_factory
0x00141CB8 CPlayerLight_factory
0x001429C0 CSpotLight_HandleAttributes
0x001462E8 CSpotLightSurface_HandleAttributes
0x00146708 CSpotLight_factory
0x00146758 CSpotLightSurface_factory
0x00146F08 CCollisionCapsule_factory
0x001474E0 CMoverNode_HandleAttributes
